date,vol
2019/11/26,681
2019/11/27,474
2019/11/28,702
2019/11/29,282
2019/11/30,281
2019/12/01,834
2019/12/02,928
2019/12/03,478
2019/12/04,594
2019/12/05,399
2019/12/06,481
2019/12/07,370
2019/12/08,512
2019/12/09,399
2019/12/10,424
2019/12/11,347
2019/12/12,306
2019/12/13,668
2019/12/14,483
2019/12/15,199
2019/12/16,289
2019/12/17,347
2019/12/18,323
2019/12/19,363
2019/12/20,247
2019/12/21,140
2019/12/22,172
2019/12/23,416
2019/12/24,662
2019/12/25,225
2019/12/26,195
2019/12/27,131
2019/12/28,121
2019/12/29,135
2019/12/30,270
2019/12/31,476
2020/01/01,277
2020/01/02,235
2020/01/03,198
2020/01/04,486
2020/01/05,285
2020/01/06,372
2020/01/07,186
2020/01/08,1008
2020/01/09,913
2020/01/10,576
2020/01/11,449
2020/01/12,215
2020/01/13,184
2020/01/14,292
2020/01/15,478
2020/01/16,272
2020/01/17,406
2020/01/18,420
2020/01/19,340
2020/01/20,362
2020/01/21,329
2020/01/22,365
2020/01/23,430
2020/01/24,300
2020/01/25,148
2020/01/26,164
2020/01/27,148
2020/01/28,170
2020/01/29,178
2020/01/30,187
2020/01/31,170
2020/02/01,246
2020/02/02,254
2020/02/03,188
2020/02/04,442
2020/02/05,302
2020/02/06,311
2020/02/07,219
2020/02/08,135
2020/02/09,307
2020/02/10,299
2020/02/11,483
2020/02/12,492
2020/02/13,379
2020/02/14,326
2020/02/15,380
2020/02/16,314
2020/02/17,214
2020/02/18,506
2020/02/19,324
2020/02/20,403
2020/02/21,179
2020/02/22,195
2020/02/23,176
2020/02/24,319
2020/02/25,277
2020/02/26,203
2020/02/27,234
2020/02/28,400
2020/02/29,272
2020/03/01,214
2020/03/02,259
2020/03/03,237
2020/03/04,281
2020/03/05,256
2020/03/06,103
2020/03/07,114
2020/03/08,142
2020/03/09,486
2020/03/10,186
2020/03/11,102
2020/03/12,139
2020/03/13,170
2020/03/14,133
2020/03/15,47
2020/03/16,98
2020/03/17,100
2020/03/18,95
2020/03/19,140
2020/03/20,200
2020/03/21,94
2020/03/22,199
2020/03/23,109
2020/03/24,105
2020/03/25,123
2020/03/26,68
2020/03/27,184
2020/03/28,194
2020/03/29,171
2020/03/30,175
2020/03/31,661
2020/04/01,355
2020/04/02,206
2020/04/03,410
2020/04/04,257
2020/04/05,292
2020/04/06,221
2020/04/07,279
2020/04/08,268
2020/04/09,151
2020/04/10,128
2020/04/11,240
2020/04/12,110
2020/04/13,129
2020/04/14,176
2020/04/15,362
2020/04/16,235
2020/04/17,197
2020/04/18,191
2020/04/19,276
2020/04/20,205
2020/04/21,285
2020/04/22,203
2020/04/23,817
2020/04/24,656
2020/04/25,220
2020/04/26,249
2020/04/27,234
2020/04/28,530
2020/04/29,378
2020/04/30,613
2020/05/01,316
2020/05/02,250
2020/05/03,226
2020/05/04,529
2020/05/05,299
2020/05/06,476
2020/05/07,391
2020/05/08,461
2020/05/09,273
2020/05/10,130
2020/05/11,217
2020/05/12,416
2020/05/13,398
2020/05/14,395
2020/05/15,286
2020/05/16,543
2020/05/17,448
2020/05/18,414
2020/05/19,295
2020/05/20,525
2020/05/21,344
2020/05/22,432
2020/05/23,269
2020/05/24,252
2020/05/25,516
2020/05/26,441
2020/05/27,281
2020/05/28,1278
2020/05/29,677
2020/05/30,641
2020/05/31,985
2020/06/01,599
2020/06/02,1155
2020/06/03,835
2020/06/04,1006
2020/06/05,662
2020/06/06,1024
2020/06/07,701
2020/06/08,991
2020/06/09,1038
2020/06/10,1467
2020/06/11,2454
2020/06/12,867
2020/06/13,763
2020/06/14,653
2020/06/15,733
2020/06/16,813
2020/06/17,1091
2020/06/18,986
2020/06/19,616
2020/06/20,858
2020/06/21,791
2020/06/22,1068
2020/06/23,671
2020/06/24,604
2020/06/25,650
2020/06/26,1018
2020/06/27,734
2020/06/28,811
2020/06/29,993
2020/06/30,810
2020/07/01,876
2020/07/02,1167
2020/07/03,1694
2020/07/04,2517
2020/07/05,2876
2020/07/06,2019
2020/07/07,2574
2020/07/08,3195
2020/07/09,1501
2020/07/10,1968
2020/07/11,1437
2020/07/12,1360
2020/07/13,1612
2020/07/14,1212
2020/07/15,1456
2020/07/16,928
2020/07/17,1350
2020/07/18,null
2020/07/19,602
2020/07/20,1408
2020/07/21,1228
2020/07/22,973
2020/07/23,874
2020/07/24,793
2020/07/25,949
2020/07/26,612
2020/07/27,836
2020/07/28,748
2020/07/29,699
2020/07/30,1436
2020/07/31,731
2020/08/01,737
2020/08/02,612
2020/08/03,795
2020/08/04,752
